Datum,Clinton,Edwards,Obama
2/24/2008,43,-,48
2/21/2008,42,-,48
2/22/2008,43,-,46
2/21/2008,39,-,51
2/20/2008,40,-,49
2/20/2008,38,-,54
2/22/2008,46,-,47
2/19/2008,44,-,44
2/18/2008,45,-,44
2/15/2008,42,-,49
2/14/2008,45,-,43
2/13/2008,38,-,52
2/12/2008,45,-,47
2/9/2008,45,-,47
2/9/2008,45,-,44
2/7/2008,46,-,41
2/8/2008,44,-,47
2/6/2008,48,-,43
2/6/2008,41,-,42
2/3/2008,52,-,39
2/1/2008,48,-,42
2/1/2008,46,-,49
1/31/2008,37,-,43
1/31/2008,46,-,44
1/30/2008,41,-,41
1/30/2008,45,-,44
1/30/2008,46,-,38
1/30/2008,47,2,43
1/30/2008,47,-,37
1/28/2008,43,8,39
1/25/2008,44,14,33
1/22/2008,47,12,31
1/20/2008,47,12,32
1/18/2008,42,11,33
1/15/2008,40,13,33
1/14/2008,42,17,33
1/10/2008,45,13,33
1/9/2008,46,13,31
1/10/2008,38,13,35
1/9/2008,42,11,37
1/9/2008,42,11,27
1/10/2008,39,9,38
1/9/2008,49,12,36
1/4/2008,33,20,33
12/19/2007,46,14,26
12/14/2007,47,13,25
12/18/2007,49,10,20
12/14/2007,45,13,23
10/7/2007,48,13,30
12/14/2007,45,15,27
12/12/2007,40,13,32
12/10/2007,35,14,30
12/9/2007,47,13,23
12/9/2007,41,13,22
12/6/2007,53,10,23
12/6/2007,40,14,30
12/5/2007,44,11,27
12/3/2007,45,12,23
11/30/2007,45,11,21
11/30/2007,39,15,24
11/20/2007,48,11,22
11/14/2007,38,13,27
11/13/2007,44,12,23
11/11/2007,48,12,21
11/9/2007,46,11,21
11/2/2007,52,11,29
11/8/2007,39,12,22
11/5/2007,45,12,22
11/1/2007,47,11,25
11/2/2007,50,15,22
11/2/2007,44,14,25
10/31/2007,43,12,24
10/29/2007,48,10,17
10/29/2007,49,12,26
10/23/2007,47,12,21
10/24/2007,38,12,24
10/23/2007,42,13,25
10/17/2007,45,12,24
10/19/2007,48,13,17
10/18/2007,40,12,19
10/12/2007,51,15,21
10/12/2007,50,13,21
10/10/2007,46,9,25
10/9/2007,45,13,20
10/9/2007,50,11,18
10/4/2007,47,11,26
10/4/2007,31,12,16
10/1/2007,46,11,25
9/27/2007,53,13,20
9/21/2007,40,12,26
9/13/2007,36,18,23
9/14/2007,47,11,25
9/12/2007,42,14,25
9/13/2007,35,10,21
9/10/2007,43,13,23
9/9/2007,39,15,21
9/11/2007,43,13,24
9/7/2007,44,16,23
9/7/2007,46,16,23
9/7/2007,45,16,24
9/4/2007,41,14,27
8/21/2007,38,8,25
8/13/2007,48,13,25
8/9/2007,36,16,21
8/6/2007,44,16,24
8/2/2007,43,10,23
8/3/2007,48,12,26
8/1/2007,44,14,23
7/27/2007,43,13,22
7/19/2007,39,11,30
7/18/2007,45,12,30
7/17/2007,41,12,25
7/12/2007,40,13,28
7/12/2007,37,11,25
7/9/2007,38,16,25
7/6/2007,42,16,26
6/26/2007,47,13,21
6/22/2007,43,17,25
6/21/2007,35,15,24
6/20/2007,43,14,27
6/15/2007,32,16,22
6/11/2007,39,13,26
6/9/2007,39,13,19
6/8/2007,39,15,25
6/5/2007,41,15,26
6/1/2007,37,13,36
5/26/2007,42,11,27
5/17/2007,39,11,24
5/15/2007,39,15,23
5/11/2007,40,13,25
5/10/2007,42,14,28
5/9/2007,39,19,22
5/4/2007,41,14,27
5/4/2007,45,14,27
4/27/2007,36,18,26
4/20/2007,36,20,31
4/12/2007,41,17,25
4/13/2007,37,19,29
4/9/2007,36,19,24
4/10/2007,36,15,28
4/2/2007,43,18,19
3/29/2007,41,19,17
3/22/2007,32,13,22
3/20/2007,39,20,26
3/23/2007,42,17,24
3/9/2007,44,14,23
3/2/2007,34,15,31
3/2/2007,40,15,28
3/2/2007,44,10,27
2/22/2007,43,14,27
2/22/2007,33,12,25
2/15/2007,42,16,20
2/9/2007,48,14,23
1/19/2007,37,16,18